Recipe URL,Recipe Name,Prep Time,Cook Time,Ingredient List,Equipment List
https://www.loveandlemons.com/vegetarian-lasagna/,Best Vegetarian Lasagna,40 minutes,50 minutes,"Extra-virgin olive oil8 ounces cremini mushrooms, stemmed and quartered1 red bell pepper, stemmed, seeded, and cut into 1-inch pieces1 medium zucchini, cut into ½-inch pieces½ medium yellow onion, cut into ½-inch piecesSea salt and freshly ground black pepper15 lasagna noodles*3 cups (24 ounces) marinara sauce, 3 cups fresh spinach2 cups grated low-moisture, part-skim mozzarella cheese½ cup grated pecorino cheeseFresh basil leaves or chopped fresh parsley, for garnish",9x13 Baking DishBaking Sheets
https://www.loveandlemons.com/vegetarian-chili-recipe/,Vegetarian Chili,10 minutes,35 minutes,"2 tablespoons extra-virgin olive oil1 small yellow onion, chopped1 red bell pepper, diced2 garlic cloves, minced1 teaspoon  chili powder, optional1 teaspoon  ground cumin, optional1 (14-ounce) can diced fire-roasted tomatoes1 (14-ounce) can kidney beans, drained and rinsed1 (14-ounce) can pinto beans, drained and rinsed1 cup water or broth3 chipotle peppers from canned chipotles in adobo, diced, plus 3 tablespoons sauce*1 cup corn kernels, fresh or frozen½ teaspoon sea salt, plus more to tasteFreshly ground black pepper1 tablespoon fresh lime juice, plus wedges for serving",N/A
https://www.loveandlemons.com/best-veggie-burger-recipe/,Best Veggie Burger,20 minutes,N/A,"2 tablespoons extra-virgin olive oil, plus more for drizzling2 shallots, chopped (⅔ cup)16 ounces mushrooms, mix of shiitake + portobello, stemmed and diced2 tablespoons tamari2 tablespoons balsamic vinegar1 tablespoon mirin, or ½ teaspoon maple syrup2 garlic cloves, minced½ teaspoon smoked paprika2 teaspoons sriracha, more if desired½ cup chopped walnuts¼ cup ground flaxseed2 cups cooked short-grain brown rice, freshly cooked so that it’s sticky*1 cup panko bread crumbs, dividedVegan Worcestershire sauce, for brushingNonstick cooking spray, for grillingHamburger buns and desired burger fixingsSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/quinoa-bowl/,Mediterranean Quinoa Bowl,20 minutes,20 minutes,"3 cups cooked quinoa, from 1 cup uncooked2 Persian cucumbers, thinly sliced1 cup cherry tomatoes, halved2 avocados, dicedPickled Red OnionsFresh mint and/or parsley leavesAleppo pepperGarlic Yogurt Sauce, see note",N/A
https://www.loveandlemons.com/vegetarian-lasagna/,Best Vegetarian Lasagna,40 minutes,50 minutes,"Extra-virgin olive oil8 ounces cremini mushrooms, stemmed and quartered1 red bell pepper, stemmed, seeded, and cut into 1-inch pieces1 medium zucchini, cut into ½-inch pieces½ medium yellow onion, cut into ½-inch piecesSea salt and freshly ground black pepper15 lasagna noodles*3 cups (24 ounces) marinara sauce, 3 cups fresh spinach2 cups grated low-moisture, part-skim mozzarella cheese½ cup grated pecorino cheeseFresh basil leaves or chopped fresh parsley, for garnish",9x13 Baking DishBaking Sheets
https://www.loveandlemons.com/marinara-sauce/,Marinara Sauce,10 minutes,30 minutes,"2 tablespoons extra-virgin olive oil⅓ cup finely minced shallot2 large garlic cloves, finely minced½ teaspoon sea saltFreshly ground black pepper1 (28-ounce) can crushed tomatoes2 teaspoons balsamic vinegar¼ teaspoon cane sugar¼ teaspoon dried oregano¼ teaspoon red pepper flakes",N/A
https://www.loveandlemons.com/falafel/,Falafel,15 minutes,25 minutes,"1 cup uncooked chickpeas, soaked 24 hours, drained, rinsed, and patted dry* (see note)½ cup chopped shallot or yellow onion3 garlic cloves1 teaspoon lemon zest1 teaspoon ground cumin1 teaspoon ground coriander¾ teaspoon sea salt¼ teaspoon cayenne pepper¼ teaspoon baking powder1 cup chopped fresh cilantro leaves and stems, patted dry1 cup chopped fresh parsley leaves and stems, patted dry1 tablespoon extra-virgin olive oil, plus more for drizzling",N/A
https://www.loveandlemons.com/pita-bread-recipe/,Homemade Pita Bread,20 minutes,5 minutes,"3/4 cup warm water1 package (2 1/4 teaspoons),  active dry yeast1 teaspoon plus 1 tablespoon sugar3 3/4 cups bread flour (469 grams), plus more for dusting1 1/2 teaspoons sea salt3 tablespoons extra-virgin olive oil, plus more for the bowl3/4 cup whole-milk Greek yogurt, (we use Stonyfield)",N/A
https://www.loveandlemons.com/tahini-sauce/,Tahini Sauce,5 minutes,N/A,"½ cup tahini*¼ cup fresh lemon juice6 tablespoons water, plus more as needed1 small garlic clove, grated or pressed½ teaspoon sea salt",N/A
https://www.loveandlemons.com/pickled-red-onions/,Pickled Red Onions,5 minutes,5 minutes,2 small red onions2 cups white vinegar2 cups water⅓ cup cane sugar2 tablespoons sea salt,10-oz. Mason JarsMandoline (makes it super easy to make thin slices!)Medium Pot
https://www.loveandlemons.com/frittata-recipe/,"Frittata Recipe, plus 5 Variations",5 minutes,25 minutes,"6 large eggs, use 8 eggs for a 12-inch skillet¼ cup unsweetened almond milk, or any milk2 garlic cloves, minced¼ teaspoon sea salt, more for sprinklingFreshly ground black pepperExtra-virgin olive oil, for drizzlingChoose ingredients for one of the variations below:",10-Inch Cast Iron Skillet (I like to use an enameled cast iron skillet)
https://www.loveandlemons.com/best-veggie-burger-recipe/,Best Veggie Burger,20 minutes,N/A,"2 tablespoons extra-virgin olive oil, plus more for drizzling2 shallots, chopped (⅔ cup)16 ounces mushrooms, mix of shiitake + portobello, stemmed and diced2 tablespoons tamari2 tablespoons balsamic vinegar1 tablespoon mirin, or ½ teaspoon maple syrup2 garlic cloves, minced½ teaspoon smoked paprika2 teaspoons sriracha, more if desired½ cup chopped walnuts¼ cup ground flaxseed2 cups cooked short-grain brown rice, freshly cooked so that it’s sticky*1 cup panko bread crumbs, dividedVegan Worcestershire sauce, for brushingNonstick cooking spray, for grillingHamburger buns and desired burger fixingsSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/how-to-cook-brown-rice/,How to Cook Brown Rice,5 minutes,55 minutes,"1 cup uncooked brown rice, well rinsed2 cups water1 teaspoon extra-virgin olive oil",N/A
https://www.loveandlemons.com/eggplant-parmesan/,Eggplant Parmesan,20 minutes,40 minutes,"2 large eggplant, cut into ¼-inch thick rounds2 eggs, beaten¼ cup almond milk1½ cups panko breadcrumbs1¼ cup grated Parmesan cheese, divided2 teaspoons oregano2 tablespoons fresh thyme½ teaspoon red pepper flakes½ teaspoon sea salt, more for sprinklingFreshly ground black pepperExtra-virgin olive oil, for drizzling28 ounces Marinara Sauce2 large balls fresh mozzarella, thinly sliced⅓ cup fresh basil leaves",9x13-Inch Baking Dish (This Stuab one is so pretty for serving)
https://www.loveandlemons.com/vegan-ramen/,Vegan Ramen,20 minutes,10 minutes,"1 recipe Mushroom Broth1 tablespoon rice vinegar1 tablespoon mirin2 tablespoons white miso paste3 tablespoons extra-virgin olive oil1 large or 2 medium baby bok choy, sliced into thin wedgesSea salt2 tablespoons waterCaps from 1 pound shiitake mushrooms, sliced8 ounces dried ramen noodlesBaked tofuJulienned daikon radish or carrot1 bunch scallions, thinly slicedChili crisp (we like Trader Joe's brand), for servingTamari, for serving",N/A
https://www.loveandlemons.com/mushroom-broth/,Mushroom Broth,10 minutes,10 minutes,"2 medium yellow onions2 tablespoons extra-virgin olive oilStems from 1 pound shiitake mushrooms8 ounces cremini mushrooms, halved10 cups water1 garlic bulb, halved horizontally1- inch piece fresh ginger, halved½ ounce dried shiitake mushrooms3 tablespoons tamari1 teaspoon black peppercorns3- inch piece kombu",N/A
https://www.loveandlemons.com/how-to-cook-tofu/,How to Cook Tofu,5 minutes,25 minutes,"14 ounces extra-firm tofu, patted dry and cubed½ tablespoon extra-virgin olive oil2 tablespoons tamari½ teaspoon sriracha1 tablespoon cornstarch, optional","Tofuture Tofu Press (after testing tofu presses, I found I LOVED this one)Baking Sheets (I love these nonstick ones from Nordic Ware)"
https://www.loveandlemons.com/vegetarian-stuffed-peppers/,Vegetarian Stuffed Peppers,30 minutes,30 minutes,"4 red bell peppers, halved lengthwise, seeds and membranes removed2 tablespoons avocado oil, plus more for drizzling1 medium yellow onion, chopped1 jalapeño pepper, stemmed and finely chopped4 garlic cloves, chopped2 tablespoons tomato paste2 teaspoons chili powder2 teaspoons ground cumin¾ teaspoon sea salt, plus more for sprinklingFreshly ground black pepper1½ cups cooked brown rice1½ cups cooked black beans, drained and rinsed1 cup corn kernels, fresh or frozen2 tablespoons fresh lime juice, plus wedges for serving1 teaspoon lime zest1 cup shredded pepper jack cheese*½ cup chopped fresh cilantroSalsa, optional, for servingAvocado, or guacamole, optional, for serving",N/A
https://www.loveandlemons.com/vegetarian-stuffed-peppers/,Vegetarian Stuffed Peppers,30 minutes,30 minutes,"4 red bell peppers, halved lengthwise, seeds and membranes removed2 tablespoons avocado oil, plus more for drizzling1 medium yellow onion, chopped1 jalapeño pepper, stemmed and finely chopped4 garlic cloves, chopped2 tablespoons tomato paste2 teaspoons chili powder2 teaspoons ground cumin¾ teaspoon sea salt, plus more for sprinklingFreshly ground black pepper1½ cups cooked brown rice1½ cups cooked black beans, drained and rinsed1 cup corn kernels, fresh or frozen2 tablespoons fresh lime juice, plus wedges for serving1 teaspoon lime zest1 cup shredded pepper jack cheese*½ cup chopped fresh cilantroSalsa, optional, for servingAvocado, or guacamole, optional, for serving",N/A
https://www.loveandlemons.com/cauliflower-fried-rice/,Cauliflower Fried Rice,20 minutes,10 minutes,"2 tablespoons rice vinegar2 tablespoons tamari2 teaspoons toasted sesame oil2 teaspoons avocado oil8 ounces shiitake mushrooms, stemmed and sliced1 large carrot, diced¼ teaspoon sea salt2 garlic cloves, chopped1 tablespoon chopped fresh ginger¼ cup chopped kimchi1 small head of cauliflower, riced1 bunch scallions, chopped2 eggs, beaten½ cup frozen edamame1½ teaspoons fresh lime juiceFried eggs, for topping, optionalSesame seeds, for garnishMicrogreens, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/cauliflower-fried-rice/,Cauliflower Fried Rice,20 minutes,10 minutes,"2 tablespoons rice vinegar2 tablespoons tamari2 teaspoons toasted sesame oil2 teaspoons avocado oil8 ounces shiitake mushrooms, stemmed and sliced1 large carrot, diced¼ teaspoon sea salt2 garlic cloves, chopped1 tablespoon chopped fresh ginger¼ cup chopped kimchi1 small head of cauliflower, riced1 bunch scallions, chopped2 eggs, beaten½ cup frozen edamame1½ teaspoons fresh lime juiceFried eggs, for topping, optionalSesame seeds, for garnishMicrogreens, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/how-to-make-cauliflower-rice/,How to Make Cauliflower Rice,7 minutes,3 minutes,1 medium cauliflower,N/A
https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Soba Noodles,10 minutes,10 minutes,"¼ cup rice vinegar2 tablespoons tamari, more for serving½ teaspoon toasted sesame oil1 teaspoon grated ginger1 garlic clove, grated½ teaspoon maple syrup or honey",N/A
https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Soba Noodles,10 minutes,10 minutes,"¼ cup rice vinegar2 tablespoons tamari, more for serving½ teaspoon toasted sesame oil1 teaspoon grated ginger1 garlic clove, grated½ teaspoon maple syrup or honey",N/A
https://www.loveandlemons.com/cauliflower-tacos/,Roasted Cauliflower Tacos,15 minutes,45 minutes,"1 small cauliflower, outer leaves and core discarded, cut into small florets1 pound red cabbage, thinly sliced (about 1/2 small red cabbage or 6 cups sliced)¼ cup extra-virgin olive oil1 teaspoon ground cumin1 teaspoon ground coriander1 teaspoon kosher salt",N/A
https://www.loveandlemons.com/cauliflower-tacos/,Roasted Cauliflower Tacos,15 minutes,45 minutes,"1 small cauliflower, outer leaves and core discarded, cut into small florets1 pound red cabbage, thinly sliced (about 1/2 small red cabbage or 6 cups sliced)¼ cup extra-virgin olive oil1 teaspoon ground cumin1 teaspoon ground coriander1 teaspoon kosher salt",N/A
https://www.loveandlemons.com/avocado-sauce/,Avocado Sauce,5 minutes,N/A,"1 ripe avocado, peeled, pitted, and roughly chopped1 large handful fresh cilantro, finely chopped3 tablespoons fresh lime juice3 tablespoons mayonnaise*½ teaspoon kosher salt",N/A
https://www.loveandlemons.com/pasta-primavera/,Pasta Primavera,10 minutes,20 minutes,"10 ounces penne pasta2 tablespoons extra-virgin olive oil, plus more for drizzling4 garlic cloves, sliced1 yellow squash, sliced into thin half moons1 zucchini, sliced into thin half moons1 bunch asparagus, chopped into 1-inch pieces1 cup cherry tomatoes, halved1 cup thinly sliced red onion1 teaspoon sea salt½ cup frozen peas, thawed¾ cup grated pecorino cheese3 tablespoons fresh lemon juiceRed pepper flakes1 cup fresh basil leaves, plus more for garnish¼ cup fresh tarragon, optionalFreshly ground black pepper",N/A
https://www.loveandlemons.com/pasta-primavera/,Pasta Primavera,10 minutes,20 minutes,"10 ounces penne pasta2 tablespoons extra-virgin olive oil, plus more for drizzling4 garlic cloves, sliced1 yellow squash, sliced into thin half moons1 zucchini, sliced into thin half moons1 bunch asparagus, chopped into 1-inch pieces1 cup cherry tomatoes, halved1 cup thinly sliced red onion1 teaspoon sea salt½ cup frozen peas, thawed¾ cup grated pecorino cheese3 tablespoons fresh lemon juiceRed pepper flakes1 cup fresh basil leaves, plus more for garnish¼ cup fresh tarragon, optionalFreshly ground black pepper",N/A
https://www.loveandlemons.com/bibimbap-recipe/,Bibimbap,N/A,N/A,"½ English cucumber, thinly sliced½ teaspoon rice vinegar1¼ teaspoons sesame oil, divided1 cup fresh mung bean sprouts1 cup shredded carrots4 cups baby spinach½ teaspoon tamari2 cups cooked short-grain white rice2 fried eggs,  or 1 cup cubed baked tofu4 ounces sautéed shiitake mushrooms, optional1 recipe Gochujang sauceSesame seedsSea saltKimchi, optional, for servingChopped scallions, optional, for serving",N/A
https://www.loveandlemons.com/bibimbap-recipe/,Bibimbap,N/A,N/A,"½ English cucumber, thinly sliced½ teaspoon rice vinegar1¼ teaspoons sesame oil, divided1 cup fresh mung bean sprouts1 cup shredded carrots4 cups baby spinach½ teaspoon tamari2 cups cooked short-grain white rice2 fried eggs,  or 1 cup cubed baked tofu4 ounces sautéed shiitake mushrooms, optional1 recipe Gochujang sauceSesame seedsSea saltKimchi, optional, for servingChopped scallions, optional, for serving",N/A
https://www.loveandlemons.com/fried-egg/,Fried Egg,5 minutes,5 minutes,1 large egg1 teaspoon extra-virgin olive oil or small pat of butterSea salt and freshly ground black pepper,N/A
https://www.loveandlemons.com/gochujang-sauce/,Gochujang sauce,5 minutes,N/A,2 to 3 tablespoons gochujang paste*1½ tablespoons rice vinegar1 tablespoon sesame oil1 tablespoon maple syrup,N/A
https://www.loveandlemons.com/buddha-bowl-recipe/,Best Buddha Bowl,15 minutes,20 minutes,"1 large sweet potato, cubedExtra-virgin olive oil, for drizzling1 watermelon radish or 2 red radishes2 medium carrots1 cup shredded red cabbageLemon wedge, for squeezing8 kale leaves, chopped2 cups cooked brown rice or quinoa1 cup cooked chickpeas or cooked lentils¾ cup sauerkraut or other fermented veggie2 tablespoons sesame seeds or hemp seedsTurmeric Tahini Sauce, for servingMicrogreens, optionalSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/buddha-bowl-recipe/,Best Buddha Bowl,15 minutes,20 minutes,"1 large sweet potato, cubedExtra-virgin olive oil, for drizzling1 watermelon radish or 2 red radishes2 medium carrots1 cup shredded red cabbageLemon wedge, for squeezing8 kale leaves, chopped2 cups cooked brown rice or quinoa1 cup cooked chickpeas or cooked lentils¾ cup sauerkraut or other fermented veggie2 tablespoons sesame seeds or hemp seedsTurmeric Tahini Sauce, for servingMicrogreens, optionalSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/how-to-cook-brown-rice/,How to Cook Brown Rice,5 minutes,55 minutes,"1 cup uncooked brown rice, well rinsed2 cups water1 teaspoon extra-virgin olive oil",N/A
https://www.loveandlemons.com/roasted-sweet-potatoes/,Roasted Sweet Potatoes,10 minutes,25 minutes,"4 medium sweet potatoes, cubedExtra-virgin olive oil, for drizzlingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/tahini-sauce/,Tahini Sauce,5 minutes,N/A,"½ cup tahini*¼ cup fresh lemon juice6 tablespoons water, plus more as needed1 small garlic clove, grated or pressed½ teaspoon sea salt",N/A
https://www.loveandlemons.com/whole-roasted-cauliflower/,Whole Roasted Cauliflower,15 minutes,N/A,"1 medium cauliflower, about 2 pounds, tough outer leaves removedSea salt and freshly ground black pepperLemon wedges, for squeezingFresh cilantro, for garnish",N/A
https://www.loveandlemons.com/whole-roasted-cauliflower/,Whole Roasted Cauliflower,15 minutes,N/A,"1 medium cauliflower, about 2 pounds, tough outer leaves removedSea salt and freshly ground black pepperLemon wedges, for squeezingFresh cilantro, for garnish",N/A
https://www.loveandlemons.com/farro/,How to Cook Farro,5 minutes,25 minutes,"1 cup uncooked farro, rinsed",N/A
https://www.loveandlemons.com/shakshuka-recipe/,Best Shakshuka,10 minutes,25 minutes,"2 tablespoons extra-virgin olive oil1 cup chopped yellow onion1 red bell pepper, seeded and diced¼ teaspoon sea salt, more to tasteFreshly ground black pepper3 medium garlic cloves, minced½ teaspoon smoked paprika½ teaspoon ground cuminPinch of cayenne pepper, optional1 28-ounce can crushed tomatoes2 tablespoons harissa paste*, see note1 cup fresh spinach, chopped3 to 5 eggs⅓ cup crumbled feta cheese¼ cup fresh parsley leaves1 avocado, dicedMicrogreens for garnish, optionalToasted bread, for serving",N/A
https://www.loveandlemons.com/shakshuka-recipe/,Best Shakshuka,10 minutes,25 minutes,"2 tablespoons extra-virgin olive oil1 cup chopped yellow onion1 red bell pepper, seeded and diced¼ teaspoon sea salt, more to tasteFreshly ground black pepper3 medium garlic cloves, minced½ teaspoon smoked paprika½ teaspoon ground cuminPinch of cayenne pepper, optional1 28-ounce can crushed tomatoes2 tablespoons harissa paste*, see note1 cup fresh spinach, chopped3 to 5 eggs⅓ cup crumbled feta cheese¼ cup fresh parsley leaves1 avocado, dicedMicrogreens for garnish, optionalToasted bread, for serving",N/A
https://www.loveandlemons.com/pita-bread-recipe/,Homemade Pita Bread,20 minutes,5 minutes,"3/4 cup warm water1 package (2 1/4 teaspoons),  active dry yeast1 teaspoon plus 1 tablespoon sugar3 3/4 cups bread flour (469 grams), plus more for dusting1 1/2 teaspoons sea salt3 tablespoons extra-virgin olive oil, plus more for the bowl3/4 cup whole-milk Greek yogurt, (we use Stonyfield)",N/A
https://www.loveandlemons.com/sheet-pan-gnocchi/,Sheet Pan Gnocchi,10 minutes,30 minutes,"1 pound store-bought potato gnocchi (we like Isola)1 bunch broccolini, ends trimmed, florets cut into big pieces and stems cut into ½-inch pieces1 pint cherry tomatoes½ small red onion, thinly sliced2 garlic cloves, sliced2 tablespoons extra-virgin olive oil½ teaspoon sea salt½ teaspoon fresh thyme leaves½ teaspoon za’atar¼ teaspoon red pepper flakesFreshly ground black pepper6 ounces feta cheese, torn into 1-inch chunksFresh parsley, for garnish, optional",baking sheetParchment Paper
https://www.loveandlemons.com/sheet-pan-gnocchi/,Sheet Pan Gnocchi,10 minutes,30 minutes,"1 pound store-bought potato gnocchi (we like Isola)1 bunch broccolini, ends trimmed, florets cut into big pieces and stems cut into ½-inch pieces1 pint cherry tomatoes½ small red onion, thinly sliced2 garlic cloves, sliced2 tablespoons extra-virgin olive oil½ teaspoon sea salt½ teaspoon fresh thyme leaves½ teaspoon za’atar¼ teaspoon red pepper flakesFreshly ground black pepper6 ounces feta cheese, torn into 1-inch chunksFresh parsley, for garnish, optional",baking sheetParchment Paper
https://www.loveandlemons.com/avocado-sweet-potato-tacos/,Avocado Sweet Potato Tacos,10 minutes,20 minutes,"1 medium sweet potato, cubedExtra-virgin olive oil, for drizzling1/2 teaspoon chili powder4 to 6 tortillas, I like these white corn & wheat tortillas, or homemade tortillas1 cup black beans, cooked, drained, and rinsedLime slices, for servingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/avocado-sweet-potato-tacos/,Avocado Sweet Potato Tacos,10 minutes,20 minutes,"1 medium sweet potato, cubedExtra-virgin olive oil, for drizzling1/2 teaspoon chili powder4 to 6 tortillas, I like these white corn & wheat tortillas, or homemade tortillas1 cup black beans, cooked, drained, and rinsedLime slices, for servingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/pickled-red-onions/,Pickled Red Onions,5 minutes,5 minutes,2 small red onions2 cups white vinegar2 cups water⅓ cup cane sugar2 tablespoons sea salt,10-oz. Mason JarsMandoline (makes it super easy to make thin slices!)Medium Pot
https://www.loveandlemons.com/quinoa-bowl/,Mediterranean Quinoa Bowl,20 minutes,20 minutes,"3 cups cooked quinoa, from 1 cup uncooked2 Persian cucumbers, thinly sliced1 cup cherry tomatoes, halved2 avocados, dicedPickled Red OnionsFresh mint and/or parsley leavesAleppo pepperGarlic Yogurt Sauce, see note",N/A
https://www.loveandlemons.com/quinoa-bowl/,Mediterranean Quinoa Bowl,20 minutes,20 minutes,"3 cups cooked quinoa, from 1 cup uncooked2 Persian cucumbers, thinly sliced1 cup cherry tomatoes, halved2 avocados, dicedPickled Red OnionsFresh mint and/or parsley leavesAleppo pepperGarlic Yogurt Sauce, see note",N/A
